Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Data Type,AIDM Domain,Notes,Data Access,Transaction_Point_ID,Transaction_Point_Name,TP_MAS_Function,TP_ERD_Source,Val_Primary
Category 31 — Voluntary Changes,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk/Cost,Algorithm,Order Management,AUTOMATED — rules for passenger-initiated changes,MNAR,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Risk
Category 31 — Voluntary Changes,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk/Cost,Algorithm,Order Management,AUTOMATED — rules for passenger-initiated changes,MNAR,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Risk
Category 33 — Voluntary Refunds,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk/Cost,Algorithm,Order Management,AUTOMATED — rules for passenger-initiated refunds,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Risk
Category 33 — Voluntary Refunds,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk/Cost,Algorithm,Order Management,AUTOMATED — rules for passenger-initiated refunds,MNAR,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Risk
Category 33 — Voluntary Refunds,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk/Cost,Algorithm,Order Management,AUTOMATED — rules for passenger-initiated refunds,MNAR,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Risk
YQ/YR Surcharge,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Cost,Numeric,Shopping,Carrier-imposed fuel and other surcharges — not government taxes,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Cost
YQ/YR Surcharge,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Cost,Numeric,Shopping,Carrier-imposed fuel and other surcharges — not government taxes,MNAR,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Cost
HIP (Highest Intermediate Point),ATPCO (composite),Industry Schema,Revenue Management,ATPCO,Industry Body,Income,Numeric,Shopping,Fare construction check — intermediate point fare must not exceed through fare,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Income
HIP (Highest Intermediate Point),ATPCO (composite),Industry Schema,Revenue Management,ATPCO,Industry Body,Income,Numeric,Shopping,Fare construction check — intermediate point fare must not exceed through fare,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
MPM (Maximum Permitted Mileage),ATPCO (composite),Industry Schema,Revenue Management,IATA,Industry Body,Market,Numeric (miles),Shopping,Maximum mileage permitted for a fare basis code,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Market
MPM (Maximum Permitted Mileage),ATPCO (composite),Industry Schema,Revenue Management,IATA,Industry Body,Market,Numeric (miles),Shopping,Maximum mileage permitted for a fare basis code,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Add-On / Proportional Fare,ATPCO (composite) / 14 CFR 221,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Amount published for use only in combination with other fares — 14 CFR 221,OBSERVED,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Income
Add-On / Proportional Fare,ATPCO (composite) / 14 CFR 221,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Amount published for use only in combination with other fares — 14 CFR 221,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Advance Purchase Requirement,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Option,Categorical,Shopping,Category 5 — API-accessible in structured form,OBSERVED,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Option
Advance Purchase Requirement,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Option,Categorical,Shopping,Category 5 — API-accessible in structured form,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Option
Combinability Indicator,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Market,Categorical,Shopping,Whether fare can be combined with other fares,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Market
Combinability Indicator,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Market,Categorical,Shopping,Whether fare can be combined with other fares,MNAR,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Market
Offer,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income/Market,Object,Shopping,Proposal to sell a specific set of products under specific conditions for a price,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
Price (Base Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Base amount before taxes and fees,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
Price (Base Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Base amount before taxes and fees,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
Price (Total Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Total amount including all fees and taxes,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
Price (Total Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Total amount including all fees and taxes,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
Order,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Object,Order Management,Confirmed purchase of travel products under specified terms and conditions,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
Order Item (Grand Total Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Order Management,Total price for all included services for all passengers and segments,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
Penalty (Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Numeric,Shopping,Fee for failure to meet agreed conditions — change or cancellation,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Risk
Penalty (Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Numeric,Shopping,Fee for failure to meet agreed conditions — change or cancellation,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Risk
Fee (Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Amount added on to a charge for a specific product purpose or service,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
Fee (Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Amount added on to a charge for a specific product purpose or service,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
Commission (Amount),AIDM / RP1008,Industry Schema,Distribution / GDS,Travel Agent,Vendor,Cost,Numeric,Settlement with Orders,Remuneration paid to agent in relation to a commercial transaction,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Cost
RBD (Booking Class Code),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,String (code),Shopping,Categorization used to facilitate access to inventory and application of filed fares,MNAR,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Option
RBD (Booking Class Code),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,String (code),Shopping,Categorization used to facilitate access to inventory and application of filed fares,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Option
Cancel Restrictions (Allowed Modification Indicator),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Boolean,Shopping,Whether cancellation modification is permitted under this fare,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Risk
Cancel Restrictions (Allowed Modification Indicator),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Boolean,Shopping,Whether cancellation modification is permitted under this fare,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Risk
Change Restrictions (Allowed Modification Indicator),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Boolean,Shopping,Whether change modification is permitted under this fare,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Risk
Change Restrictions (Allowed Modification Indicator),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Boolean,Shopping,Whether change modification is permitted under this fare,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Risk
Price Guarantee Time Limit,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,DateTime,Order Management,Deadline by which price is guaranteed — expires after this time,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Option
Price Guarantee Time Limit,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,DateTime,Order Management,Deadline by which price is guaranteed — expires after this time,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Option
Payment Time Limit,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,DateTime,Payments,Deadline by which payment commitment must be received,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Option
Payment Time Limit,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,DateTime,Payments,Deadline by which payment commitment must be received,OBSERVED,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Option
Interline Settlement Information / Settlement Amount,AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Numeric,Settlements,Value of product or service as it pertains to interline transactions,MNAR,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
Interline Settlement Information / Settlement Amount,AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Numeric,Settlements,Value of product or service as it pertains to interline transactions,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Interline Settlement Information / Method Code,AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Settlements,Method code for settlement — ICH / ACH / bilateral,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Market
