carrier,jurisdiction,period,route,data_source,visibility,value,n_obs,aidm_variable,mas_function,valuation_type,unit,origin_airport,dest_airport,year,month
AA,USA,2023Q1,EWR-ORD,BTS_DB1B_PLACEHOLDER,HIGH,209.69871794871796,195,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,EWR-SEA,BTS_DB1B_PLACEHOLDER,HIGH,219.8819553072626,179,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,JFK-ATL,BTS_DB1B_PLACEHOLDER,HIGH,212.90976303317535,211,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,JFK-DEN,BTS_DB1B_PLACEHOLDER,HIGH,217.17628742514972,167,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,JFK-DFW,BTS_DB1B_PLACEHOLDER,HIGH,208.64900552486188,181,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,JFK-LAX,BTS_DB1B_PLACEHOLDER,HIGH,220.70935483870966,155,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,JFK-MCO,BTS_DB1B_PLACEHOLDER,HIGH,210.490297029703,202,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,JFK-MIA,BTS_DB1B_PLACEHOLDER,HIGH,198.77044444444445,225,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,JFK-ORD,BTS_DB1B_PLACEHOLDER,HIGH,219.47972972972974,185,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,JFK-SEA,BTS_DB1B_PLACEHOLDER,HIGH,216.20025641025643,195,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LAX-ATL,BTS_DB1B_PLACEHOLDER,HIGH,195.856,215,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LAX-DEN,BTS_DB1B_PLACEHOLDER,HIGH,230.574898989899,198,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LAX-DFW,BTS_DB1B_PLACEHOLDER,HIGH,239.2565445026178,191,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LAX-LAX,BTS_DB1B_PLACEHOLDER,HIGH,222.67428571428573,196,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LAX-MCO,BTS_DB1B_PLACEHOLDER,HIGH,230.3372105263158,190,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LAX-MIA,BTS_DB1B_PLACEHOLDER,HIGH,217.76449494949497,198,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LAX-ORD,BTS_DB1B_PLACEHOLDER,HIGH,220.79425837320574,209,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LAX-SEA,BTS_DB1B_PLACEHOLDER,HIGH,227.0955154639175,194,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LGA-ATL,BTS_DB1B_PLACEHOLDER,HIGH,208.26087378640776,206,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LGA-DEN,BTS_DB1B_PLACEHOLDER,HIGH,214.0177720207254,193,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LGA-DFW,BTS_DB1B_PLACEHOLDER,HIGH,223.85774011299435,177,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LGA-LAX,BTS_DB1B_PLACEHOLDER,HIGH,232.6202597402597,154,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LGA-MCO,BTS_DB1B_PLACEHOLDER,HIGH,232.69481707317073,164,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LGA-MIA,BTS_DB1B_PLACEHOLDER,HIGH,220.67025252525252,198,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LGA-ORD,BTS_DB1B_PLACEHOLDER,HIGH,221.9568780487805,205,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,LGA-SEA,BTS_DB1B_PLACEHOLDER,HIGH,217.88836538461538,208,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,ORD-ATL,BTS_DB1B_PLACEHOLDER,HIGH,216.5151666666667,180,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,ORD-DEN,BTS_DB1B_PLACEHOLDER,HIGH,215.0367487684729,203,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,ORD-DFW,BTS_DB1B_PLACEHOLDER,HIGH,213.5514814814815,216,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,ORD-LAX,BTS_DB1B_PLACEHOLDER,HIGH,213.3566210045662,219,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,ORD-MCO,BTS_DB1B_PLACEHOLDER,HIGH,220.43286486486488,185,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,ORD-MIA,BTS_DB1B_PLACEHOLDER,HIGH,226.75507772020728,193,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,ORD-ORD,BTS_DB1B_PLACEHOLDER,HIGH,202.3404329004329,231,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,ORD-SEA,BTS_DB1B_PLACEHOLDER,HIGH,203.19430167597764,179,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,SFO-ATL,BTS_DB1B_PLACEHOLDER,HIGH,228.40432432432434,222,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,SFO-DEN,BTS_DB1B_PLACEHOLDER,HIGH,222.6260655737705,183,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,SFO-DFW,BTS_DB1B_PLACEHOLDER,HIGH,221.91388349514565,206,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,SFO-LAX,BTS_DB1B_PLACEHOLDER,HIGH,214.1888541666667,192,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,SFO-MCO,BTS_DB1B_PLACEHOLDER,HIGH,230.85666666666668,204,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,SFO-MIA,BTS_DB1B_PLACEHOLDER,HIGH,207.4768817204301,186,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,SFO-ORD,BTS_DB1B_PLACEHOLDER,HIGH,213.62193877551022,196,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,SFO-SEA,BTS_DB1B_PLACEHOLDER,HIGH,224.59415,200,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,BOS-ATL,BTS_DB1B_PLACEHOLDER,HIGH,229.80901639344262,122,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,BOS-DEN,BTS_DB1B_PLACEHOLDER,HIGH,229.4748,125,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,BOS-DFW,BTS_DB1B_PLACEHOLDER,HIGH,216.05628318584073,113,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,BOS-LAX,BTS_DB1B_PLACEHOLDER,HIGH,236.6747311827957,93,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,BOS-MCO,BTS_DB1B_PLACEHOLDER,HIGH,219.2457843137255,102,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,BOS-MIA,BTS_DB1B_PLACEHOLDER,HIGH,240.99716814159294,113,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,BOS-ORD,BTS_DB1B_PLACEHOLDER,HIGH,214.6682407407407,108,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,BOS-SEA,BTS_DB1B_PLACEHOLDER,HIGH,215.88711340206186,97,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,DCA-ATL,BTS_DB1B_PLACEHOLDER,HIGH,239.13736363636363,110,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,DCA-DEN,BTS_DB1B_PLACEHOLDER,HIGH,226.7237142857143,105,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,DCA-DFW,BTS_DB1B_PLACEHOLDER,HIGH,223.17045454545453,132,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,DCA-LAX,BTS_DB1B_PLACEHOLDER,HIGH,219.75565217391306,115,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,DCA-MCO,BTS_DB1B_PLACEHOLDER,HIGH,216.60094488188977,127,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,DCA-MIA,BTS_DB1B_PLACEHOLDER,HIGH,198.06635593220338,118,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,DCA-ORD,BTS_DB1B_PLACEHOLDER,HIGH,198.03276422764228,123,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,DCA-SEA,BTS_DB1B_PLACEHOLDER,HIGH,228.88076923076923,117,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,EWR-ATL,BTS_DB1B_PLACEHOLDER,HIGH,198.67728,125,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,EWR-DEN,BTS_DB1B_PLACEHOLDER,HIGH,197.71032258064514,124,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,EWR-DFW,BTS_DB1B_PLACEHOLDER,HIGH,226.59919642857145,112,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,EWR-LAX,BTS_DB1B_PLACEHOLDER,HIGH,200.36657407407407,108,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,EWR-MCO,BTS_DB1B_PLACEHOLDER,HIGH,235.1983185840708,113,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,EWR-MIA,BTS_DB1B_PLACEHOLDER,HIGH,207.16700854700855,117,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,EWR-ORD,BTS_DB1B_PLACEHOLDER,HIGH,202.61333333333332,132,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,EWR-SEA,BTS_DB1B_PLACEHOLDER,HIGH,221.99428571428572,119,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,JFK-ATL,BTS_DB1B_PLACEHOLDER,HIGH,207.96048000000002,125,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,JFK-DEN,BTS_DB1B_PLACEHOLDER,HIGH,213.96176,125,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,JFK-DFW,BTS_DB1B_PLACEHOLDER,HIGH,197.2069105691057,123,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,JFK-LAX,BTS_DB1B_PLACEHOLDER,HIGH,213.03947826086957,115,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,JFK-MCO,BTS_DB1B_PLACEHOLDER,HIGH,217.74,110,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,JFK-MIA,BTS_DB1B_PLACEHOLDER,HIGH,242.74794642857142,112,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,JFK-ORD,BTS_DB1B_PLACEHOLDER,HIGH,219.5529457364341,129,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,JFK-SEA,BTS_DB1B_PLACEHOLDER,HIGH,212.3295575221239,113,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LAX-ATL,BTS_DB1B_PLACEHOLDER,HIGH,217.8276551724138,145,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LAX-DEN,BTS_DB1B_PLACEHOLDER,HIGH,195.11610294117648,136,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LAX-DFW,BTS_DB1B_PLACEHOLDER,HIGH,219.6318018018018,111,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LAX-LAX,BTS_DB1B_PLACEHOLDER,HIGH,221.89135922330098,103,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LAX-MCO,BTS_DB1B_PLACEHOLDER,HIGH,208.8794871794872,117,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LAX-MIA,BTS_DB1B_PLACEHOLDER,HIGH,191.9738392857143,112,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LAX-ORD,BTS_DB1B_PLACEHOLDER,HIGH,221.05290598290597,117,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LAX-SEA,BTS_DB1B_PLACEHOLDER,HIGH,217.49504132231405,121,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LGA-ATL,BTS_DB1B_PLACEHOLDER,HIGH,235.78851239669422,121,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LGA-DEN,BTS_DB1B_PLACEHOLDER,HIGH,225.3467289719626,107,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LGA-DFW,BTS_DB1B_PLACEHOLDER,HIGH,214.71595890410958,146,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LGA-LAX,BTS_DB1B_PLACEHOLDER,HIGH,196.111568627451,102,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LGA-MCO,BTS_DB1B_PLACEHOLDER,HIGH,232.32629629629628,135,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LGA-MIA,BTS_DB1B_PLACEHOLDER,HIGH,221.44418032786885,122,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LGA-ORD,BTS_DB1B_PLACEHOLDER,HIGH,204.13400000000001,135,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,LGA-SEA,BTS_DB1B_PLACEHOLDER,HIGH,230.90268041237115,97,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,ORD-ATL,BTS_DB1B_PLACEHOLDER,HIGH,226.3219512195122,123,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,ORD-DEN,BTS_DB1B_PLACEHOLDER,HIGH,196.03969230769232,130,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,ORD-DFW,BTS_DB1B_PLACEHOLDER,HIGH,216.9713043478261,138,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,ORD-LAX,BTS_DB1B_PLACEHOLDER,HIGH,217.00495145631066,103,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,ORD-MCO,BTS_DB1B_PLACEHOLDER,HIGH,232.87657142857142,105,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,ORD-MIA,BTS_DB1B_PLACEHOLDER,HIGH,213.68904347826088,115,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,ORD-ORD,BTS_DB1B_PLACEHOLDER,HIGH,202.6325663716814,113,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,ORD-SEA,BTS_DB1B_PLACEHOLDER,HIGH,239.19250000000002,112,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,SFO-ATL,BTS_DB1B_PLACEHOLDER,HIGH,187.9014953271028,107,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,SFO-DEN,BTS_DB1B_PLACEHOLDER,HIGH,208.37895999999998,125,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,SFO-DFW,BTS_DB1B_PLACEHOLDER,HIGH,206.9123076923077,91,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,SFO-LAX,BTS_DB1B_PLACEHOLDER,HIGH,221.2130630630631,111,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,SFO-MCO,BTS_DB1B_PLACEHOLDER,HIGH,185.77120689655172,116,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,SFO-MIA,BTS_DB1B_PLACEHOLDER,HIGH,220.0136440677966,118,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,SFO-ORD,BTS_DB1B_PLACEHOLDER,HIGH,213.22637096774193,124,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
B6,USA,2023Q1,SFO-SEA,BTS_DB1B_PLACEHOLDER,HIGH,216.95524271844658,103,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,BOS-ATL,BTS_DB1B_PLACEHOLDER,HIGH,211.04308823529414,204,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,BOS-DEN,BTS_DB1B_PLACEHOLDER,HIGH,213.78685185185185,162,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,BOS-DFW,BTS_DB1B_PLACEHOLDER,HIGH,238.7077192982456,171,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,BOS-LAX,BTS_DB1B_PLACEHOLDER,HIGH,219.14126373626374,182,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,BOS-MCO,BTS_DB1B_PLACEHOLDER,HIGH,207.81010752688172,186,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,BOS-MIA,BTS_DB1B_PLACEHOLDER,HIGH,222.59059139784947,186,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,BOS-ORD,BTS_DB1B_PLACEHOLDER,HIGH,211.94198924731182,186,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,BOS-SEA,BTS_DB1B_PLACEHOLDER,HIGH,216.36083769633507,191,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,DCA-ATL,BTS_DB1B_PLACEHOLDER,HIGH,221.91625,184,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,DCA-DEN,BTS_DB1B_PLACEHOLDER,HIGH,213.1762114537445,227,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,DCA-DFW,BTS_DB1B_PLACEHOLDER,HIGH,226.89152542372884,177,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,DCA-LAX,BTS_DB1B_PLACEHOLDER,HIGH,221.7561194029851,201,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,DCA-MCO,BTS_DB1B_PLACEHOLDER,HIGH,220.48123222748816,211,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,DCA-MIA,BTS_DB1B_PLACEHOLDER,HIGH,240.4784699453552,183,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,DCA-ORD,BTS_DB1B_PLACEHOLDER,HIGH,244.8101030927835,194,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,DCA-SEA,BTS_DB1B_PLACEHOLDER,HIGH,211.05684782608697,184,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,EWR-ATL,BTS_DB1B_PLACEHOLDER,HIGH,213.23805309734516,226,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,EWR-DEN,BTS_DB1B_PLACEHOLDER,HIGH,199.01239766081872,171,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,EWR-DFW,BTS_DB1B_PLACEHOLDER,HIGH,196.60767955801103,181,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,EWR-LAX,BTS_DB1B_PLACEHOLDER,HIGH,195.99732323232323,198,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,EWR-MCO,BTS_DB1B_PLACEHOLDER,HIGH,213.75435406698566,209,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,EWR-MIA,BTS_DB1B_PLACEHOLDER,HIGH,235.71708542713566,199,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,EWR-ORD,BTS_DB1B_PLACEHOLDER,HIGH,210.26542735042736,234,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,EWR-SEA,BTS_DB1B_PLACEHOLDER,HIGH,216.1545871559633,218,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,JFK-ATL,BTS_DB1B_PLACEHOLDER,HIGH,213.39398148148146,216,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,JFK-DEN,BTS_DB1B_PLACEHOLDER,HIGH,240.96608695652176,184,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,JFK-DFW,BTS_DB1B_PLACEHOLDER,HIGH,235.64023696682463,211,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,JFK-LAX,BTS_DB1B_PLACEHOLDER,HIGH,217.20985000000002,200,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
DL,USA,2023Q1,JFK-MCO,BTS_DB1B_PLACEHOLDER,HIGH,229.25665,200,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
